"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\Control_Panel\__init__.py", "Python", -6, -11, -7, -24
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\Control_Panel\forms.py", "Python", -9, -1, -5, -15
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\Control_Panel\keywords_db_Queries.py", "Python", -120, -79, -50, -249
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\Control_Panel\position_titles_db_Quires.py", "Python", -92, -64, -42, -198
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\Control_Panel\routes.py", "Python", -149, -70, -58, -277
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\Control_Panel\validation.py", "Python", -14, -16, -11, -41
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\__init__.py", "Python", 6, 0, 3, 9
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\allowance_data_preprocessing.py", "Python", 424, 501, 208, 1133
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\data_processing.py", "Python", 539, 378, 221, 1138
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\file_processing.py", "Python", 164, 100, 70, 334
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\forms.py", "Python", 23, 24, 13, 60
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\overtime_data_preprocessing.py", "Python", 104, 90, 46, 240
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\refrence.py", "Python", 7, 7, 31, 45
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\routes.py", "Python", 763, 246, 154, 1163
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\home\util.py", "Python", 403, 156, 77, 636
"Total", "-", 2043, 1261, 650, 3954